,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,Arminia,2,34,34,3060,34.0,53,1.56,176,128,73.9,5,13,16,7,20.6,7,7,0,0,0.0
1,Augsburg,1,34,34,3060,34.0,56,1.65,152,100,66.4,10,8,16,9,26.5,5,5,0,0,0.0
2,Bayern Munich,3,34,34,3060,34.0,37,1.09,112,78,68.8,24,5,5,11,32.4,2,2,0,0,0.0
3,Bochum,2,34,34,3060,34.0,52,1.53,167,123,71.9,12,6,15,7,20.6,8,5,2,1,28.6
4,Dortmund,3,34,34,3060,34.0,52,1.53,128,84,64.1,22,3,9,7,20.6,6,6,0,0,0.0
5,Eint Frankfurt,3,34,34,3060,34.0,49,1.44,163,117,72.4,10,12,12,5,14.7,4,4,0,0,0.0
6,Freiburg,2,34,34,3060,34.0,46,1.35,152,108,71.1,15,10,9,10,29.4,2,2,0,0,0.0
7,Greuther Fürth,3,34,34,3060,34.0,82,2.41,182,107,58.2,3,9,22,6,17.6,6,6,0,0,0.0
8,Hertha BSC,2,34,34,3060,34.0,71,2.09,164,100,61.6,9,6,19,6,17.6,8,8,0,0,0.0
9,Hoffenheim,2,34,34,3060,34.0,60,1.76,161,104,64.0,13,7,14,8,23.5,4,2,1,1,33.3
10,Köln,2,34,34,3060,34.0,49,1.44,151,103,67.5,14,10,10,4,11.8,1,0,1,0,100.0
11,Leverkusen,3,34,34,3060,34.0,47,1.38,161,116,72.0,19,7,8,8,23.5,4,2,1,1,33.3
12,M'Gladbach,2,34,34,3060,34.0,61,1.79,178,118,67.4,11,9,13,4,11.8,5,3,2,0,40.0
13,Mainz 05,2,34,34,3060,34.0,45,1.32,119,80,66.4,13,7,14,10,29.4,6,5,1,0,16.7
14,RB Leipzig,3,34,34,3060,34.0,37,1.09,111,78,69.4,17,7,10,10,29.4,3,3,0,0,0.0
15,Stuttgart,2,34,34,3060,34.0,59,1.74,156,100,64.7,7,12,15,4,11.8,4,4,0,0,0.0
16,Union Berlin,2,34,34,3060,34.0,44,1.29,123,84,65.9,16,9,9,8,23.5,2,2,0,0,0.0
17,Wolfsburg,2,34,34,3060,34.0,54,1.59,147,97,66.0,12,6,16,11,32.4,7,4,2,1,33.3
