,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,Augsburg,1,4.0,8,0,1,1,0,8.4,0.29,0.4,0.1,39,107,36.4,139,20,46.8,40.0,53,79.2,60.8,39,1,2.6,1,0.25,13.9
1,Bayern Munich,1,4.0,2,0,0,0,0,3.4,0.24,1.4,0.35,26,43,60.5,144,29,27.8,30.0,24,12.5,26.7,22,1,4.5,6,1.5,16.9
2,Bochum,1,4.0,13,1,0,4,1,13.4,0.29,0.4,0.11,82,165,49.7,184,7,75.5,52.7,37,70.3,56.7,33,4,12.1,18,4.5,23.9
3,Dortmund,1,4.0,4,0,0,1,0,3.9,0.21,-0.1,-0.01,18,51,35.3,150,24,24.0,31.5,28,53.6,46.1,39,1,2.6,3,0.75,13.7
4,Eint Frankfurt,1,4.0,11,1,1,2,0,6.1,0.26,-4.9,-1.21,17,52,32.7,76,13,51.3,42.4,30,43.3,39.6,18,2,11.1,0,0.0,14.5
5,Freiburg,1,4.0,3,0,0,0,0,3.6,0.21,0.6,0.16,49,102,48.0,143,15,56.6,48.3,25,84.0,68.0,37,2,5.4,4,1.0,12.6
6,Hertha BSC,1,4.0,6,1,0,1,0,6.6,0.24,0.6,0.16,25,51,49.0,111,32,29.7,31.0,33,54.5,51.7,46,3,6.5,5,1.25,14.8
7,Hoffenheim,1,4.0,5,0,0,2,0,6.9,0.41,1.9,0.49,26,66,39.4,142,15,40.1,38.4,30,30.0,30.3,36,6,16.7,1,0.25,11.3
8,Köln,1,4.0,4,0,1,0,0,2.9,0.19,-1.1,-0.28,19,40,47.5,132,9,23.5,30.9,24,37.5,37.4,25,0,0.0,4,1.0,15.9
9,Leverkusen,2,4.0,6,0,0,0,0,5.1,0.34,-0.9,-0.22,27,65,41.5,132,22,39.4,36.3,24,54.2,46.4,23,3,13.0,5,1.25,16.9
10,M'Gladbach,1,4.0,4,1,0,0,0,6.3,0.2,2.3,0.58,26,73,35.6,164,17,36.6,35.3,32,40.6,37.9,42,6,14.3,6,1.5,20.7
11,Mainz 05,1,4.0,5,0,0,1,0,3.5,0.3,-1.5,-0.36,18,53,34.0,77,29,45.5,42.4,23,78.3,63.2,22,2,9.1,8,2.0,17.8
12,RB Leipzig,2,4.0,5,0,0,0,1,3.5,0.29,-1.5,-0.38,14,32,43.8,116,20,19.0,30.6,32,31.3,36.8,28,1,3.6,2,0.5,15.8
13,Schalke 04,1,4.0,11,0,0,3,0,6.8,0.25,-4.2,-1.04,29,82,35.4,90,10,61.1,49.7,30,90.0,70.0,57,1,1.8,0,0.0,12.6
14,Stuttgart,1,4.0,4,0,0,0,0,4.4,0.27,0.4,0.09,21,52,40.4,138,20,28.3,29.9,31,41.9,37.2,48,1,2.1,6,1.5,16.8
15,Union Berlin,1,4.0,3,1,0,1,0,3.4,0.18,0.4,0.1,31,87,35.6,140,17,47.1,41.7,25,84.0,61.8,40,4,10.0,4,1.0,13.5
16,Werder Bremen,1,4.0,10,0,0,3,0,5.5,0.3,-4.5,-1.12,22,68,32.4,123,18,40.7,37.3,36,50.0,45.5,26,2,7.7,2,0.5,13.8
17,Wolfsburg,1,4.0,6,1,0,0,0,6.9,0.26,0.9,0.22,43,65,66.2,126,28,43.7,37.9,28,35.7,40.6,29,1,3.4,6,1.5,16.6
