,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,Ajaccio,21,4.0,62,44,38,18,6,23,68,33.8,45,624,181,29.0,194,303,127,46,7,0,39,61,123,57,0
1,Angers,21,4.0,53,32,24,25,4,18,59,30.5,41,446,126,28.3,127,199,120,58,9,1,49,39,92,62,0
2,Auxerre,20,4.0,59,28,36,17,6,21,61,34.4,40,477,109,22.9,206,182,89,56,16,0,40,53,112,98,0
3,Brest,21,4.0,66,46,36,24,6,25,56,44.6,31,510,166,32.5,136,256,118,40,5,0,35,64,130,60,1
4,Clermont Foot,20,4.0,63,38,32,21,10,26,71,36.6,45,396,115,29.0,136,150,110,61,19,1,42,70,133,51,1
5,Lens,16,4.0,43,21,22,16,5,14,54,25.9,40,401,105,26.2,132,185,84,51,10,0,41,53,96,70,1
6,Lille,20,4.0,54,38,28,20,6,19,58,32.8,39,432,134,31.0,123,208,101,61,16,0,45,42,96,83,0
7,Lorient,17,3.0,66,49,40,19,7,31,59,52.5,28,392,126,32.1,171,154,67,56,15,0,41,54,120,53,1
8,Lyon,20,3.0,65,41,24,29,12,30,56,53.6,26,336,112,33.3,89,155,92,19,2,0,17,41,106,30,0
9,Marseille,22,4.0,74,45,35,29,10,23,49,46.9,26,510,149,29.2,152,224,134,59,16,0,43,54,128,103,1
10,Monaco,23,4.0,72,43,27,35,10,12,49,24.5,37,566,140,24.7,134,283,149,53,17,0,36,58,130,65,1
11,Montpellier,21,4.0,76,55,36,31,9,39,71,54.9,32,420,131,31.2,167,170,83,45,8,0,37,40,116,54,1
12,Nantes,17,4.0,81,55,45,23,13,27,66,40.9,39,543,142,26.2,171,247,125,72,20,0,52,61,142,93,1
13,Nice,21,4.0,72,49,31,28,13,23,41,56.1,18,458,138,30.1,147,204,107,45,9,0,36,52,124,60,0
14,Paris S-G,19,4.0,64,42,26,20,18,30,67,44.8,37,544,153,28.1,133,225,186,45,8,0,37,43,107,19,0
15,Reims,19,4.0,71,42,31,30,10,26,61,42.6,35,607,168,27.7,229,260,118,55,14,0,41,72,143,106,0
16,Rennes,21,4.0,69,42,21,34,14,18,49,36.7,31,489,143,29.2,114,238,137,52,15,0,37,39,108,72,1
17,Strasbourg,20,4.0,75,46,38,26,11,24,58,41.4,34,483,153,31.7,142,230,111,49,12,0,37,45,120,80,2
18,Toulouse,20,4.0,84,58,34,31,19,30,78,38.5,48,559,158,28.3,172,240,147,50,14,0,36,54,138,65,2
19,Troyes,19,4.0,65,36,31,28,6,25,67,37.3,42,492,148,30.1,170,248,74,61,16,1,45,81,146,54,1
