,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Ajaccio,21,4.0,1046,1457,71.8,20151,7466,450,532,84.6,408,519,78.6,159,330,48.2,1,1.8,-0.8,28,72,15,6,86
1,Angers,21,4.0,1731,2087,82.9,32418,11115,686,781,87.8,810,915,88.5,195,315,61.9,4,3.1,0.9,29,147,33,8,160
2,Auxerre,20,4.0,1306,1641,79.6,27451,9141,518,579,89.5,496,575,86.3,260,420,61.9,4,3.1,0.9,27,77,16,4,86
3,Brest,21,4.0,1394,1761,79.2,29054,9691,534,607,88.0,596,683,87.3,246,398,61.8,3,4.0,-1.0,34,108,28,9,114
4,Clermont Foot,20,4.0,1803,2112,85.4,34314,10495,785,846,92.8,734,812,90.4,249,380,65.5,4,1.8,2.2,22,116,27,8,112
5,Lens,16,4.0,1818,2139,85.0,34469,11113,760,838,90.7,807,904,89.3,231,345,67.0,6,5.4,0.6,44,109,36,5,152
6,Lille,20,4.0,2093,2427,86.2,36844,11704,953,1060,89.9,884,956,92.5,196,297,66.0,6,5.0,1.0,41,139,36,7,151
7,Lorient,17,3.0,1044,1283,81.4,20068,6968,407,451,90.2,488,575,84.9,135,230,58.7,1,3.2,-2.2,29,64,14,1,71
8,Lyon,20,3.0,1917,2202,87.1,34929,10055,790,862,91.6,901,977,92.2,193,294,65.6,3,1.9,1.1,27,149,37,7,129
9,Marseille,22,4.0,1656,2043,81.1,32070,10605,656,747,87.8,737,837,88.1,231,374,61.8,5,3.5,1.5,33,127,31,6,150
10,Monaco,23,4.0,1319,1653,79.8,26167,8901,553,632,87.5,535,612,87.4,214,364,58.8,3,3.9,-0.9,39,109,36,6,142
11,Montpellier,21,4.0,1620,1919,84.4,30482,9808,698,762,91.6,671,752,89.2,220,337,65.3,10,4.2,5.8,44,100,32,8,122
12,Nantes,17,4.0,1194,1594,74.9,24583,8944,488,547,89.2,466,587,79.4,218,402,54.2,4,3.2,0.8,38,106,26,11,106
13,Nice,21,4.0,1887,2258,83.6,33737,10241,861,940,91.6,808,903,89.5,185,323,57.3,1,2.6,-1.6,39,117,32,7,131
14,Paris S-G,19,4.0,2434,2704,90.0,40634,12049,1206,1306,92.3,943,1018,92.6,222,273,81.3,12,7.7,4.3,51,140,59,10,193
15,Reims,19,4.0,1017,1374,74.0,20550,7322,395,466,84.8,444,542,81.9,162,312,51.9,2,3.4,-1.4,29,85,28,6,106
16,Rennes,21,4.0,2049,2431,84.3,40727,11904,801,916,87.4,910,1029,88.4,319,428,74.5,3,3.6,-0.6,53,151,48,8,194
17,Strasbourg,20,4.0,1838,2276,80.8,35216,11722,778,879,88.5,789,903,87.4,243,417,58.3,3,3.8,-0.8,34,139,47,14,160
18,Toulouse,20,4.0,1686,2063,81.7,33726,11399,651,753,86.5,754,848,88.9,255,392,65.1,4,3.5,0.5,31,120,43,10,153
19,Troyes,19,4.0,1327,1657,80.1,24815,9114,617,680,90.7,522,627,83.3,172,303,56.8,4,2.7,1.3,43,93,23,9,107
